Week,hybrid car sale: (California),electric car sale: (California)
8/5/18,32,26
8/12/18,20,41
8/19/18,33,33
8/26/18,45,39
9/2/18,38,52
9/9/18,0,25
9/16/18,25,65
9/23/18,31,44
9/30/18,12,13
10/7/18,13,32
10/14/18,13,26
10/21/18,25,25
10/28/18,39,19
11/4/18,30,61
11/11/18,0,38
11/18/18,27,41
11/25/18,60,25
12/2/18,38,70
12/9/18,13,26
12/16/18,59,40
12/23/18,0,0
12/30/18,14,35
1/6/19,24,31
1/13/19,18,12
1/20/19,32,51
1/27/19,49,37
2/3/19,12,19
2/10/19,30,36
2/17/19,44,50
2/24/19,24,85
3/3/19,24,31
3/10/19,25,43
3/17/19,25,58
3/24/19,19,77
3/31/19,26,26
4/7/19,26,39
4/14/19,45,53
4/21/19,13,46
4/28/19,50,57
5/5/19,44,26
5/12/19,19,57
5/19/19,25,63
5/26/19,19,45
6/2/19,25,51
6/9/19,44,39
6/16/19,39,26
6/23/19,59,53
6/30/19,33,68
7/7/19,25,45
7/14/19,20,53
7/21/19,13,33
7/28/19,20,27
8/4/19,20,39
8/11/19,39,66
8/18/19,31,64
8/25/19,31,56
9/1/19,98,100
